URL,MatchDateTime,Station,Show,IAShowID,IAPreviewThumb,Sentiments,review
https://archive.org/details/MSNBCW_20200118_040000_The_11th_Hour_With_Brian_Williams#start/2840/end/2875,1/18/2020 4:47,MSNBC,The 11th Hour With Brian Williams,MSNBCW_20200118_040000_The_11th_Hour_With_Brian_Williams,https://archive.org/download/MSNBCW_20200118_040000_The_11th_Hour_With_Brian_Williams/MSNBCW_20200118_040000_The_11th_Hour_With_Brian_Williams.thumbs/MSNBCW_20200118_040000_The_11th_Hour_With_Brian_Williams_002847.jpg,Positive,everywhere is going to get touched by climate change.
https://archive.org/details/MSNBCW_20200114_110000_Morning_Joe#start/2073/end/2108,1/14/2020 11:34,MSNBC,Morning Joe,MSNBCW_20200114_110000_Morning_Joe,https://archive.org/download/MSNBCW_20200114_110000_Morning_Joe/MSNBCW_20200114_110000_Morning_Joe.thumbs/MSNBCW_20200114_110000_Morning_Joe_002068.jpg,Positive,this melting pot of impacted species. everywhere is going to get touched by climate change.
https://archive.org/details/MSNBCW_20200118_040000_The_11th_Hour_With_Brian_Williams#start/1659/end/1694,1/18/2020 4:27,MSNBC,The 11th Hour With Brian Williams,MSNBCW_20200118_040000_The_11th_Hour_With_Brian_Williams,https://archive.org/download/MSNBCW_20200118_040000_The_11th_Hour_With_Brian_Williams/MSNBCW_20200118_040000_The_11th_Hour_With_Brian_Williams.thumbs/MSNBCW_20200118_040000_The_11th_Hour_With_Brian_Williams_001648.jpg,Positive,this melting pot of impacted species. everywhere is going to get touched by climate change.
https://archive.org/details/MSNBCW_20200101_000000#start/900/end/935,1/1/2020 0:15,MSNBC,,MSNBCW_20200101_000000,https://archive.org/download/MSNBCW_20200101_000000/MSNBCW_20200101_000000.thumbs/MSNBCW_20200101_000000_000809.jpg,Positive,"welcome back to 'hardball.' that was the united nations secretary-general speaking to head of the u.n. climate change conference earlier this month in madrid. his dire warning follows the release of a u.n. report that indicated, quote, rapid unprecedented cuts in greenhouse"
https://archive.org/details/MSNBCW_20200101_000000_Hardball_With_Chris_Matthews#start/897/end/932,1/1/2020 0:15,MSNBC,Hardball With Chris Matthews,MSNBCW_20200101_000000_Hardball_With_Chris_Matthews,https://archive.org/download/MSNBCW_20200101_000000_Hardball_With_Chris_Matthews/MSNBCW_20200101_000000_Hardball_With_Chris_Matthews.thumbs/MSNBCW_20200101_000000_Hardball_With_Chris_Matthews_000868.jpg,Positive,"welcome back to 'hardball.' that was the united nations secretary-general speaking to head of the u.n. climate change conference earlier this month in madrid. his dire warning follows the release of a u.n. report that indicated, quote, rapid unprecedented cuts in greenhouse"
https://archive.org/details/MSNBCW_20200117_110000_Morning_Joe#start/5729/end/5764,1/17/2020 12:35,MSNBC,Morning Joe,MSNBCW_20200117_110000_Morning_Joe,https://archive.org/download/MSNBCW_20200117_110000_Morning_Joe/MSNBCW_20200117_110000_Morning_Joe.thumbs/MSNBCW_20200117_110000_Morning_Joe_005668.jpg,Positive,usaa. this melting pot of impacted species. everywhere is going to get touched by climate change.
https://archive.org/details/MSNBCW_20200110_110000_Morning_Joe#start/6933/end/6968,1/10/2020 12:55,MSNBC,Morning Joe,MSNBCW_20200110_110000_Morning_Joe,https://archive.org/download/MSNBCW_20200110_110000_Morning_Joe/MSNBCW_20200110_110000_Morning_Joe.thumbs/MSNBCW_20200110_110000_Morning_Joe_006929.jpg,Positive,experience '1917'. this melting pot of impacted species. everywhere is going to get touched by climate change.
https://archive.org/details/MSNBCW_20200116_040000_The_11th_Hour_With_Brian_Williams#start/2682/end/2717,1/16/2020 4:44,MSNBC,The 11th Hour With Brian Williams,MSNBCW_20200116_040000_The_11th_Hour_With_Brian_Williams,https://archive.org/download/MSNBCW_20200116_040000_The_11th_Hour_With_Brian_Williams/MSNBCW_20200116_040000_The_11th_Hour_With_Brian_Williams.thumbs/MSNBCW_20200116_040000_The_11th_Hour_With_Brian_Williams_002639.jpg,Positive,he's a baby!. this melting pot of impacted species. everywhere is going to get touched by climate change.
https://archive.org/details/MSNBCW_20200107_110000_Morning_Joe#start/1585/end/1620,1/7/2020 11:26,MSNBC,Morning Joe,MSNBCW_20200107_110000_Morning_Joe,https://archive.org/download/MSNBCW_20200107_110000_Morning_Joe/MSNBCW_20200107_110000_Morning_Joe.thumbs/MSNBCW_20200107_110000_Morning_Joe_001528.jpg,Positive,"cigna. together, all the way. this melting pot of impacted species. everywhere is going to get touched by climate change."
https://archive.org/details/MSNBCW_20200117_040000_The_11th_Hour_With_Brian_Williams#start/1737/end/1772,1/17/2020 4:29,MSNBC,The 11th Hour With Brian Williams,MSNBCW_20200117_040000_The_11th_Hour_With_Brian_Williams,https://archive.org/download/MSNBCW_20200117_040000_The_11th_Hour_With_Brian_Williams/MSNBCW_20200117_040000_The_11th_Hour_With_Brian_Williams.thumbs/MSNBCW_20200117_040000_The_11th_Hour_With_Brian_Williams_001738.jpg,Positive, nothing is everything ask your dermatologist about skyrizi. this melting pot of impacted species. everywhere is going to get touched by climate change.
https://archive.org/details/MSNBCW_20200117_110000_Morning_Joe#start/6366/end/6401,1/17/2020 12:46,MSNBC,Morning Joe,MSNBCW_20200117_110000_Morning_Joe,https://archive.org/download/MSNBCW_20200117_110000_Morning_Joe/MSNBCW_20200117_110000_Morning_Joe.thumbs/MSNBCW_20200117_110000_Morning_Joe_006329.jpg,Positive,on 'morning joe.' we're reporters from the new york times. this melting pot of impacted species. everywhere is going to get touched by climate change.
https://archive.org/details/MSNBCW_20200111_060000_The_Last_Word_With_Lawrence_ODonnell#start/2768/end/2803,1/11/2020 6:46,MSNBC,The Last Word With Lawrence ODonnell,MSNBCW_20200111_060000_The_Last_Word_With_Lawrence_ODonnell,https://archive.org/download/MSNBCW_20200111_060000_The_Last_Word_With_Lawrence_ODonnell/MSNBCW_20200111_060000_The_Last_Word_With_Lawrence_ODonnell.thumbs/MSNBCW_20200111_060000_The_Last_Word_With_Lawrence_ODonnell_002757.jpg,Positive,"you my friend. continued good luck with the podcast. we're going to talk about the biggest story in the world with a live report from what is now ground zero in the climate crisis, australia."
https://archive.org/details/MSNBCW_20200107_040000_The_11th_Hour_With_Brian_Williams#start/2328/end/2363,1/7/2020 4:39,MSNBC,The 11th Hour With Brian Williams,MSNBCW_20200107_040000_The_11th_Hour_With_Brian_Williams,https://archive.org/download/MSNBCW_20200107_040000_The_11th_Hour_With_Brian_Williams/MSNBCW_20200107_040000_The_11th_Hour_With_Brian_Williams.thumbs/MSNBCW_20200107_040000_The_11th_Hour_With_Brian_Williams_002308.jpg,Positive,[mayhem] you always drive like an old lady? [tina] you're an old lady. this melting pot of impacted species. everywhere is going to get touched by climate change.
https://archive.org/details/MSNBCW_20200114_200000_MSNBC_Live_With_Ali_Velshi#start/3193/end/3228,1/14/2020 20:53,MSNBC,MSNBC Live With Ali Velshi,MSNBCW_20200114_200000_MSNBC_Live_With_Ali_Velshi,https://archive.org/download/MSNBCW_20200114_200000_MSNBC_Live_With_Ali_Velshi/MSNBCW_20200114_200000_MSNBC_Live_With_Ali_Velshi.thumbs/MSNBCW_20200114_200000_MSNBC_Live_With_Ali_Velshi_003177.jpg,Positive,"dayquil severe with vicks vapocool. the daytime, coughing, stuffy head, vaporize your cold, medicine. this melting pot of impacted species. everywhere is going to get touched by climate change."
https://archive.org/details/MSNBCW_20200120_110000_Morning_Joe#start/5027/end/5062,1/20/2020 12:24,MSNBC,Morning Joe,MSNBCW_20200120_110000_Morning_Joe,https://archive.org/download/MSNBCW_20200120_110000_Morning_Joe/MSNBCW_20200120_110000_Morning_Joe.thumbs/MSNBCW_20200120_110000_Morning_Joe_005009.jpg,Positive,"as a leader in the fight against climate change, he helped shut down over half of the nation's coal plants, then led one of the biggest pollution reduction efforts in history. as president, he intends to reduce emissions by fifty percent within ten years. because if we want to stop climate change,"
https://archive.org/details/MSNBCW_20200107_110000_Morning_Joe#start/7065/end/7100,1/7/2020 12:58,MSNBC,Morning Joe,MSNBCW_20200107_110000_Morning_Joe,https://archive.org/download/MSNBCW_20200107_110000_Morning_Joe/MSNBCW_20200107_110000_Morning_Joe.thumbs/MSNBCW_20200107_110000_Morning_Joe_001618.jpg,Positive,"committee, bob menendez and also former director john brennan. we're reporters from the new york times. this melting pot of impacted species. everywhere is going to get touched by climate change."
https://archive.org/details/MSNBCW_20200106_140000_MSNBC_Live_With_Stephanie_Ruhle#start/3079/end/3114,1/6/2020 14:51,MSNBC,MSNBC Live With Stephanie Ruhle,MSNBCW_20200106_140000_MSNBC_Live_With_Stephanie_Ruhle,https://archive.org/download/MSNBCW_20200106_140000_MSNBC_Live_With_Stephanie_Ruhle/MSNBCW_20200106_140000_MSNBC_Live_With_Stephanie_Ruhle.thumbs/MSNBCW_20200106_140000_MSNBC_Live_With_Stephanie_Ruhle_003028.jpg,Positive,"because doing right by our members, that's what's right. usaa. what you're made of, we're made for. usaa. this melting pot of impacted species. everywhere is going to get touched by climate change."
https://archive.org/details/MSNBCW_20200114_110000_Morning_Joe#start/7045/end/7080,1/14/2020 12:57,MSNBC,Morning Joe,MSNBCW_20200114_110000_Morning_Joe,https://archive.org/download/MSNBCW_20200114_110000_Morning_Joe/MSNBCW_20200114_110000_Morning_Joe.thumbs/MSNBCW_20200114_110000_Morning_Joe_007017.jpg,Positive,determination - it's the way mike will get it done. mb: i'm mike bloomberg and i approve this message. this melting pot of impacted species. everywhere is going to get touched by climate change.
https://archive.org/details/MSNBCW_20200101_050000_Global_Citizen_Prize#start/825/end/860,1/1/2020 5:14,MSNBC,Global Citizen Prize,MSNBCW_20200101_050000_Global_Citizen_Prize,https://archive.org/download/MSNBCW_20200101_050000_Global_Citizen_Prize/MSNBCW_20200101_050000_Global_Citizen_Prize.thumbs/MSNBCW_20200101_050000_Global_Citizen_Prize_000808.jpg,Positive,"the struggle to save our planet, we may well be losing the war. i was humbled recently by the words of greta thunberg as she addressed the united nations on the issue of climate change."
https://archive.org/details/MSNBCW_20200113_110000_Morning_Joe#start/7967/end/8002,1/13/2020 13:13,MSNBC,Morning Joe,MSNBCW_20200113_110000_Morning_Joe,https://archive.org/download/MSNBCW_20200113_110000_Morning_Joe/MSNBCW_20200113_110000_Morning_Joe.thumbs/MSNBCW_20200113_110000_Morning_Joe_007949.jpg,Positive,more mercy. (vo) save over 40 hours a month with intuit quickbooks. the easy way to a happier business. this melting pot of impacted species. everywhere is going to get touched by climate change.
https://archive.org/details/MSNBCW_20200113_190000_MSNBC_Live_With_Katy_Tur#start/3616/end/3651,1/13/2020 20:00,MSNBC,MSNBC Live With Katy Tur,MSNBCW_20200113_190000_MSNBC_Live_With_Katy_Tur,https://archive.org/download/MSNBCW_20200113_190000_MSNBC_Live_With_Katy_Tur/MSNBCW_20200113_190000_MSNBC_Live_With_Katy_Tur.thumbs/MSNBCW_20200113_190000_MSNBC_Live_With_Katy_Tur_003598.jpg,Positive,"you had michael mann on your show. he is a climatologist and went to australia. he happens to be there while this is happening and the studies are the effects of climate change, scorched earth."
